orig_name,Ground Truth,Visual Estimation,Polygon Annotations (side A),Polygon Annotations (side B),Polygon Annotations,annotation_mean
den_11_1,15,14,9,10,19,9.5
den_11_10,39,29,23,19,42,21.0
den_11_11,55,37,20,24,44,22.0
den_11_12,43,37,22,22,44,22.0
den_11_13,29,21,15,12,27,13.5
den_11_14,17,15,15,11,26,13.0
den_11_15,19,21,15,17,32,16.0
den_11_16,14,16,11,12,23,11.5
den_11_17,18,14,11,11,22,11.0
den_11_18,23,23,13,16,29,14.5
den_11_19,45,44,30,26,56,28.0
den_11_2,18,16,9,15,24,12.0
den_11_20,21,19,16,13,29,14.5
den_11_3,23,18,13,11,24,12.0
den_11_4,4,4,3,3,6,3.0
den_11_5,22,21,13,19,32,16.0
den_11_6,18,16,13,15,28,14.0
den_11_7,14,14,10,12,22,11.0
den_11_8,11,10,10,13,23,11.5
den_11_9,52,52,30,31,61,30.5
den_12_1,8,9,7,5,12,6.0
den_12_10,13,13,9,12,21,10.5
den_12_11,14,14,14,6,20,10.0
den_12_12,3,3,3,3,6,3.0
den_12_13,17,18,18,13,31,15.5
den_12_14,11,11,9,7,16,8.0
den_12_15,6,5,5,6,11,5.5
den_12_16,12,12,9,10,19,9.5
den_12_17,18,18,10,15,25,12.5
den_12_18,8,8,7,5,12,6.0
den_12_19,17,15,8,11,19,9.5
den_12_2,4,4,4,2,6,3.0
den_12_20,20,18,14,17,31,15.5
den_12_3,42,32,20,17,37,18.5
den_12_4,14,14,8,11,19,9.5
den_12_5,6,6,5,5,10,5.0
den_12_6,23,20,12,11,23,11.5
den_12_7,23,16,9,16,25,12.5
den_12_8,8,8,6,6,12,6.0
den_12_9,13,13,10,10,20,10.0
den_1_1,3,3,1,2,3,1.5
den_1_10,61,56,37,38,75,37.5
den_1_11,24,23,16,18,34,17.0
den_1_12,35,35,23,28,51,25.5
den_1_13,32,28,24,17,41,20.5
den_1_14,41,43,23,24,47,23.5
den_1_15,45,38,25,26,51,25.5
den_1_16,14,13,10,10,20,10.0
den_1_17,46,39,29,31,60,30.0
den_1_18,44,36,30,30,60,30.0
den_1_19,55,50,29,38,67,33.5
den_1_2,21,19,16,14,30,15.0
den_1_20,45,42,35,19,54,27.0
den_1_3,13,12,12,9,21,10.5
den_1_4,28,28,24,20,44,22.0
den_1_5,31,33,29,18,47,23.5
den_1_6,28,26,16,21,37,18.5
den_1_7,39,41,25,26,51,25.5
den_1_8,14,12,9,9,18,9.0
den_1_9,23,19,15,15,30,15.0
den_9_1,0,0,0,0,0,0.0
den_9_11,0,0,0,0,0,0.0
den_9_13,0,0,0,0,0,0.0
den_9_15,0,0,0,0,0,0.0
den_9_17,0,0,0,0,0,0.0
den_9_3,0,0,0,0,0,0.0
noc_11_1,15,13,9,7,16,8.0
noc_11_10,39,26,19,20,39,19.5
noc_11_11,55,32,23,25,48,24.0
noc_11_12,43,29,20,22,42,21.0
noc_11_13,29,20,17,13,30,15.0
noc_11_14,17,16,15,10,25,12.5
noc_11_15,19,19,12,16,28,14.0
noc_11_16,14,13,9,8,17,8.5
noc_11_17,18,14,10,14,24,12.0
noc_11_18,23,20,14,18,32,16.0
noc_11_19,45,42,23,29,52,26.0
noc_11_2,18,18,11,14,25,12.5
noc_11_20,21,21,19,14,33,16.5
noc_11_3,23,17,13,11,24,12.0
noc_11_4,4,4,4,3,7,3.5
noc_11_5,22,23,12,16,28,14.0
noc_11_6,18,17,10,8,18,9.0
noc_11_7,14,15,13,14,27,13.5
noc_11_8,11,10,10,6,16,8.0
noc_11_9,52,42,25,27,52,26.0
noc_12_1,8,7,8,3,11,5.5
noc_12_10,13,12,8,10,18,9.0
noc_12_11,14,14,12,7,19,9.5
noc_12_12,3,3,3,3,6,3.0
noc_12_13,17,17,14,12,26,13.0
noc_12_14,11,9,7,5,12,6.0
noc_12_15,6,5,5,5,10,5.0
noc_12_16,12,11,8,10,18,9.0
noc_12_17,18,17,14,14,28,14.0
noc_12_18,8,7,4,4,8,4.0
noc_12_19,17,14,8,11,19,9.5
noc_12_2,4,3,3,1,4,2.0
noc_12_20,20,19,12,17,29,14.5
noc_12_3,42,25,19,16,35,17.5
noc_12_4,14,9,9,7,16,8.0
noc_12_5,6,7,4,5,9,4.5
noc_12_6,23,18,13,12,25,12.5
noc_12_7,23,16,9,14,23,11.5
noc_12_8,8,7,5,6,11,5.5
noc_12_9,13,14,9,11,20,10.0
noc_1_10,2,2,3,0,3,1.5
noc_1_19,27,24,10,12,22,11.0
noc_1_20,23,24,10,13,23,11.5
noc_2_11,2,2,1,1,2,1.0
noc_2_15,35,28,13,10,23,11.5
noc_2_2,34,31,12,13,25,12.5
noc_2_20,35,28,12,5,17,8.5
noc_2_5,16,17,6,5,11,5.5
noc_9_1,0,0,0,0,0,0.0
noc_9_10,0,0,0,0,0,0.0
noc_9_12,0,0,0,0,0,0.0
